Q1,Q2,CODES,OPT,R,TYPE,C1,Q
How many slices of bread or crispbread or crackers have you eaten on average per day since you became pregnant?,Crispbread rusk etc.,BB39,,2==9 to 12;3==1 to 2 per week;4==7 per day;6==5 per day;7==4 per day;8==3 per day;9==2 per day;10==1 per day Crackers,Categorical,BB39,q02-w22-m
How many slices of bread or crispbread or crackers have you eaten on average per day since you became pregnant?,Crispbread rusk etc.,BB39,,2==9 to 12;3==1 to 2 per week;4==0 per week;6==5 per day;7==4 per day;8==3 per day;9==2 per day;10==1 per day Crackers,Categorical,BB39,q02-w22-m
How many slices of bread or crispbread or crackers have you eaten on average per day since you became pregnant?,Crackers,BB41,,2==9 to 12;3==1 to 2 per week;4==7 per day;6==5 per day;7==4 per day;8==3 per day;9==2 per day;10==1 per day Crackers,Categorical,BB41,q02-w22-m
How many slices of bread or crispbread or crackers have you eaten on average per day since you became pregnant?,Crackers,BB41,,2==9 to 12;3==1 to 2 per week;4==0 per week;6==5 per day;7==4 per day;8==3 per day;9==2 per day;10==1 per day Crackers,Categorical,BB41,q02-w22-m
If you use butter or margarine on how many sandwiches on average and what kind do you use?,Butter or Bremyk,BB43,,1==13+ per day;2==9 to 12;4==7 per day;5==6 per day;6==5 per day;8==3 per day;10==1 per day,Categorical,BB43,q02-w22-m
If you use butter or margarine on how many sandwiches on average and what kind do you use?,Butter or Bremyk,BB43,,1==13+ per day;2==3 to 4 per week;4==7 per day;5==6 per day;6==5 per day;8==3 per day;10==1 per day,Categorical,BB43,q02-w22-m
If you use butter or margarine on how many sandwiches on average and what kind do you use?,Hard margarine 8 per day,BB45,,1==13+ per day;2==9 to 12;4==7 per day;5==6 per day;6==5 per day;8==3 per day;10==1 per day,Categorical,BB45,q02-w22-m
If you use butter or margarine on how many sandwiches on average and what kind do you use?,Hard margarine 8 per day,BB45,,1==13+ per day;2==3 to 4 per week;4==7 per day;5==6 per day;6==5 per day;8==3 per day;10==1 per day,Categorical,BB45,q02-w22-m
If you use butter or margarine on how many sandwiches on average and what kind do you use?,“Brelett”,BB47,,1==13+ per day;2==9 to 12;4==7 per day;5==6 per day;6==5 per day;8==3 per day;10==1 per day,Categorical,BB47,q02-w22-m
If you use butter or margarine on how many sandwiches on average and what kind do you use?,“Brelett”,BB47,,1==13+ per day;2==3 to 4 per week;4==7 per day;5==6 per day;6==5 per day;8==3 per day;10==1 per day,Categorical,BB47,q02-w22-m
If you use butter or margarine on how many sandwiches on average and what kind do you use?,Soft margarine 4 per day,BB49,,1==13+ per day;2==9 to 12;4==7 per day;5==6 per day;6==5 per day;8==3 per day;10==1 per day,Categorical,BB49,q02-w22-m
If you use butter or margarine on how many sandwiches on average and what kind do you use?,Soft margarine 4 per day,BB49,,1==13+ per day;2==3 to 4 per week;4==7 per day;5==6 per day;6==5 per day;8==3 per day;10==1 per day,Categorical,BB49,q02-w22-m
If you use butter or margarine on how many sandwiches on average and what kind do you use?,Light margarine 2 per day,BB51,,1==13+ per day;2==9 to 12;4==7 per day;5==6 per day;6==5 per day;8==3 per day;10==1 per day,Categorical,BB51,q02-w22-m
If you use butter or margarine on how many sandwiches on average and what kind do you use?,Light margarine 2 per day,BB51,,1==13+ per day;2==3 to 4 per week;4==7 per day;5==6 per day;6==5 per day;8==3 per day;10==1 per day,Categorical,BB51,q02-w22-m
If you use butter or margarine on how many sandwiches on average and what kind do you use?,Butter or Bremyk OR,BB44,,1==13+ per day;2==9 to 12;4==7 per day;5==6 per day;6==5 per day;8==3 per day;10==1 per day,Categorical,BB44,q02-w22-m
If you use butter or margarine on how many sandwiches on average and what kind do you use?,Butter or Bremyk OR,BB44,,1==13+ per day;2==3 to 4 per week;4==7 per day;5==6 per day;6==5 per day;8==3 per day;10==1 per day,Categorical,BB44,q02-w22-m
If you use butter or margarine on how many sandwiches on average and what kind do you use?,Hard margarine,BB46,5 to 6,1==13+ per day;2==9 to 12;4==7 per day;5==6 per day;6==5 per day;8==3 per day;10==1 per day,Categorical,BB46,q02-w22-m
If you use butter or margarine on how many sandwiches on average and what kind do you use?,Hard margarine,BB46,5 to 6,1==13+ per day;2==3 to 4 per week;4==7 per day;5==6 per day;6==5 per day;8==3 per day;10==1 per day,Categorical,BB46,q02-w22-m
If you use butter or margarine on how many sandwiches on average and what kind do you use?,“Brelett”,BB48,,1==13+ per day;2==9 to 12;4==7 per day;5==6 per day;6==5 per day;8==3 per day;10==1 per day,Categorical,BB48,q02-w22-m
If you use butter or margarine on how many sandwiches on average and what kind do you use?,“Brelett”,BB48,,1==13+ per day;2==3 to 4 per week;4==7 per day;5==6 per day;6==5 per day;8==3 per day;10==1 per day,Categorical,BB48,q02-w22-m
If you use butter or margarine on how many sandwiches on average and what kind do you use?,Soft margarine,BB50,1 to 2,1==13+ per day;2==9 to 12;4==7 per day;5==6 per day;6==5 per day;8==3 per day;10==1 per day,Categorical,BB50,q02-w22-m
If you use butter or margarine on how many sandwiches on average and what kind do you use?,Soft margarine,BB50,1 to 2,1==13+ per day;2==3 to 4 per week;4==7 per day;5==6 per day;6==5 per day;8==3 per day;10==1 per day,Categorical,BB50,q02-w22-m
If you use butter or margarine on how many sandwiches on average and what kind do you use?,Light margarine 0 per week,BB52,,1==13+ per day;2==9 to 12;4==7 per day;5==6 per day;6==5 per day;8==3 per day;10==1 per day,Categorical,BB52,q02-w22-m
If you use butter or margarine on how many sandwiches on average and what kind do you use?,Light margarine 0 per week,BB52,,1==13+ per day;2==3 to 4 per week;4==7 per day;5==6 per day;6==5 per day;8==3 per day;10==1 per day,Categorical,BB52,q02-w22-m
How much butter or margarine do you use with your sandwiches?,BB53,BB53; BB53; BB53,,1==Plenty;2==Medium;3==Minimum,Categorical,BB53,q02-w22-m
How much butter or margarine do you use with your sandwiches?,BB53,BB53; BB53; BB53,,1==Plenty;2==Medium;3==1 to 2,Categorical,BB53,q02-w22-m
How much butter or margarine do you use with your sandwiches?,BB53,BB53; BB53; BB53,,1==Plenty;2==3 to 4;3==Minimum,Categorical,BB53,q02-w22-m
How much butter or margarine do you use with your sandwiches?,BB53,BB53; BB53; BB53,,1==Plenty;2==3 to 4;3==1 to 2,Categorical,BB53,q02-w22-m
How much butter or margarine do you use with your sandwiches?,BB53,BB53; BB53; BB53,,1==5 to 6;2==Medium;3==Minimum,Categorical,BB53,q02-w22-m
How much butter or margarine do you use with your sandwiches?,BB53,BB53; BB53; BB53,,1==5 to 6;2==Medium;3==1 to 2,Categorical,BB53,q02-w22-m
How much butter or margarine do you use with your sandwiches?,BB53,BB53; BB53; BB53,,1==5 to 6;2==3 to 4;3==Minimum,Categorical,BB53,q02-w22-m
How much butter or margarine do you use with your sandwiches?,BB53,BB53; BB53; BB53,,1==5 to 6;2==3 to 4;3==1 to 2,Categorical,BB53,q02-w22-m
How much butter or margarine do you use with your sandwiches?,per week,BB53; BB55;,,1==Plenty;2==Medium;3==Minimum,Categorical,BB53,q02-w22-m
How much butter or margarine do you use with your sandwiches?,per week,BB53; BB55;,,1==Plenty;2==Medium;3==1 to 2,Categorical,BB53,q02-w22-m
How much butter or margarine do you use with your sandwiches?,per week,BB53; BB55;,,1==Plenty;2==3 to 4;3==Minimum,Categorical,BB53,q02-w22-m
How much butter or margarine do you use with your sandwiches?,per week,BB53; BB55;,,1==Plenty;2==3 to 4;3==1 to 2,Categorical,BB53,q02-w22-m
How much butter or margarine do you use with your sandwiches?,per week,BB53; BB55;,,1==5 to 6;2==Medium;3==Minimum,Categorical,BB53,q02-w22-m
How much butter or margarine do you use with your sandwiches?,per week,BB53; BB55;,,1==5 to 6;2==Medium;3==1 to 2,Categorical,BB53,q02-w22-m
How much butter or margarine do you use with your sandwiches?,per week,BB53; BB55;,,1==5 to 6;2==3 to 4;3==Minimum,Categorical,BB53,q02-w22-m
How much butter or margarine do you use with your sandwiches?,per week,BB53; BB55;,,1==5 to 6;2==3 to 4;3==1 to 2,Categorical,BB53,q02-w22-m
How much butter or margarine do you use with your sandwiches?,per week,BB53; BB73;,,1==Plenty;2==Medium;3==Minimum,Categorical,BB53,q02-w22-m
How much butter or margarine do you use with your sandwiches?,per week,BB53; BB73;,,1==Plenty;2==Medium;3==1 to 2,Categorical,BB53,q02-w22-m
How much butter or margarine do you use with your sandwiches?,per week,BB53; BB73;,,1==Plenty;2==3 to 4;3==Minimum,Categorical,BB53,q02-w22-m
How much butter or margarine do you use with your sandwiches?,per week,BB53; BB73;,,1==Plenty;2==3 to 4;3==1 to 2,Categorical,BB53,q02-w22-m
How much butter or margarine do you use with your sandwiches?,per week,BB53; BB73;,,1==5 to 6;2==Medium;3==Minimum,Categorical,BB53,q02-w22-m
How much butter or margarine do you use with your sandwiches?,per week,BB53; BB73;,,1==5 to 6;2==Medium;3==1 to 2,Categorical,BB53,q02-w22-m
How much butter or margarine do you use with your sandwiches?,per week,BB53; BB73;,,1==5 to 6;2==3 to 4;3==Minimum,Categorical,BB53,q02-w22-m
How much butter or margarine do you use with your sandwiches?,per week,BB53; BB73;,,1==5 to 6;2==3 to 4;3==1 to 2,Categorical,BB53,q02-w22-m
How much butter or margarine do you use with your sandwiches?,per week,BB53; BB103;,,1==Plenty;2==Medium;3==Minimum,Categorical,BB53,q02-w22-m
How much butter or margarine do you use with your sandwiches?,per week,BB53; BB103;,,1==Plenty;2==Medium;3==1 to 2,Categorical,BB53,q02-w22-m
How much butter or margarine do you use with your sandwiches?,per week,BB53; BB103;,,1==Plenty;2==3 to 4;3==Minimum,Categorical,BB53,q02-w22-m
How much butter or margarine do you use with your sandwiches?,per week,BB53; BB103;,,1==Plenty;2==3 to 4;3==1 to 2,Categorical,BB53,q02-w22-m
How much butter or margarine do you use with your sandwiches?,per week,BB53; BB103;,,1==5 to 6;2==Medium;3==Minimum,Categorical,BB53,q02-w22-m
How much butter or margarine do you use with your sandwiches?,per week,BB53; BB103;,,1==5 to 6;2==Medium;3==1 to 2,Categorical,BB53,q02-w22-m
How much butter or margarine do you use with your sandwiches?,per week,BB53; BB103;,,1==5 to 6;2==3 to 4;3==Minimum,Categorical,BB53,q02-w22-m
How much butter or margarine do you use with your sandwiches?,per week,BB53; BB103;,,1==5 to 6;2==3 to 4;3==1 to 2,Categorical,BB53,q02-w22-m
How much butter or margarine do you use with your sandwiches?,per week,BB53; BB124;,,1==Plenty;2==Medium;3==Minimum,Categorical,BB53,q02-w22-m
How much butter or margarine do you use with your sandwiches?,per week,BB53; BB124;,,1==Plenty;2==Medium;3==1 to 2,Categorical,BB53,q02-w22-m
How much butter or margarine do you use with your sandwiches?,per week,BB53; BB124;,,1==Plenty;2==3 to 4;3==Minimum,Categorical,BB53,q02-w22-m
How much butter or margarine do you use with your sandwiches?,per week,BB53; BB124;,,1==Plenty;2==3 to 4;3==1 to 2,Categorical,BB53,q02-w22-m
How much butter or margarine do you use with your sandwiches?,per week,BB53; BB124;,,1==5 to 6;2==Medium;3==Minimum,Categorical,BB53,q02-w22-m
How much butter or margarine do you use with your sandwiches?,per week,BB53; BB124;,,1==5 to 6;2==Medium;3==1 to 2,Categorical,BB53,q02-w22-m
How much butter or margarine do you use with your sandwiches?,per week,BB53; BB124;,,1==5 to 6;2==3 to 4;3==Minimum,Categorical,BB53,q02-w22-m
How much butter or margarine do you use with your sandwiches?,per week,BB53; BB124;,,1==5 to 6;2==3 to 4;3==1 to 2,Categorical,BB53,q02-w22-m
How many eggs have you eaten on average since you became pregnant?,Eggs-fried boiled scrambled omelet per day,BB156; BB157;,,Number of seagull eggs eaten last year;1==2+;2==1,Categorical,BB156,q02-w22-m
How often do you have the following food items on yours sandwiches?,Unsweetened cereals,,,1==2+;2==1;3==1 to 2,Categorical,,q02-w22-m
How often do you have the following food items on yours sandwiches?,per day,,,1==2+;2==1;3==1 to 2,Categorical,,q02-w22-m
How often do you have the following food items on yours sandwiches?,Sweetened muesli with dried fruit nuts,BB163,5 to 6,1==2+;2==1;3==1 to 2,Categorical,BB163,q02-w22-m
How often do you have the following food items on yours sandwiches?,etc.,,3 to 4,1==2+;2==1;3==1 to 2,Categorical,,q02-w22-m
How often do you have the following food items on yours sandwiches?,Porridge cream of wheat rice etc.,BB166,1 to 2,1==2+;2==1;3==1 to 2,Categorical,BB166,q02-w22-m
How often do you have the following food items on yours sandwiches?,Corn Flakes Frosties etc.,BB169,,1==2+;2==1;3==1 to 2,Categorical,BB169,q02-w22-m
How often do you have the following food items on yours sandwiches?,Sugar with your cereals or porridge,BB172,,1==2+;2==1;3==1 to 2,Categorical,BB172,q02-w22-m
How often do you have the following food items on yours sandwiches?,Jam with your cereals or porridge,BB175,,1==2+;2==1;3==1 to 2,Categorical,BB175,q02-w22-m
How many cup or glasses have you been drinking on average of the following beverages since you became pregnant?,Milk and yogurt,,,1==5 to 6;2==6 to 7;3==1 to 2;4==2 to 3;5==1,Categorical,,q02-w22-m
How many cup or glasses have you been drinking on average of the following beverages since you became pregnant?,Milk and yogurt,,,1==5 to 6;2==3 to 4;3==1 to 2;4==2 to 3;5==1,Categorical,,q02-w22-m
How many cup or glasses have you been drinking on average of the following beverages since you became pregnant?,Full-fat milk fermented milk,BB178; BB179;,,1==5 to 6;2==6 to 7;3==1 to 2;4==2 to 3;5==1,Categorical,BB178,q02-w22-m
How many cup or glasses have you been drinking on average of the following beverages since you became pregnant?,Full-fat milk fermented milk,BB178; BB179;,,1==5 to 6;2==3 to 4;3==1 to 2;4==2 to 3;5==1,Categorical,BB178,q02-w22-m
How many cup or glasses have you been drinking on average of the following beverages since you became pregnant?,Low-fat milk per day,BB181; BB182;,,1==5 to 6;2==6 to 7;3==1 to 2;4==2 to 3;5==1,Categorical,BB181,q02-w22-m
How many cup or glasses have you been drinking on average of the following beverages since you became pregnant?,Low-fat milk per day,BB181; BB182;,,1==5 to 6;2==3 to 4;3==1 to 2;4==2 to 3;5==1,Categorical,BB181,q02-w22-m
How many cup or glasses have you been drinking on average of the following beverages since you became pregnant?,Extra low-fat milk 8+,BB184; BB185;,5 to 6,1==5 to 6;2==6 to 7;3==1 to 2;4==2 to 3;5==1,Categorical,BB184,q02-w22-m
How many cup or glasses have you been drinking on average of the following beverages since you became pregnant?,Extra low-fat milk 8+,BB184; BB185;,5 to 6,1==5 to 6;2==3 to 4;3==1 to 2;4==2 to 3;5==1,Categorical,BB184,q02-w22-m
How many cup or glasses have you been drinking on average of the following beverages since you became pregnant?,Skimmed or fermented sk. milk,BB187; BB188;,6 to 7; 3 to 4;,1==5 to 6;2==6 to 7;3==1 to 2;4==2 to 3;5==1,Categorical,BB187,q02-w22-m
How many cup or glasses have you been drinking on average of the following beverages since you became pregnant?,Skimmed or fermented sk. milk,BB187; BB188;,6 to 7; 3 to 4;,1==5 to 6;2==3 to 4;3==1 to 2;4==2 to 3;5==1,Categorical,BB187,q02-w22-m
How many cup or glasses have you been drinking on average of the following beverages since you became pregnant?,Cultura all types,BB190; BB191;,4 to 5; 1 to 2;,1==5 to 6;2==6 to 7;3==1 to 2;4==2 to 3;5==1,Categorical,BB190,q02-w22-m
How many cup or glasses have you been drinking on average of the following beverages since you became pregnant?,Cultura all types,BB190; BB191;,4 to 5; 1 to 2;,1==5 to 6;2==3 to 4;3==1 to 2;4==2 to 3;5==1,Categorical,BB190,q02-w22-m
How many cup or glasses have you been drinking on average of the following beverages since you became pregnant?,Biola milk Biola yogurt,BB193; BB194;,2 to 3,1==5 to 6;2==6 to 7;3==1 to 2;4==2 to 3;5==1,Categorical,BB193,q02-w22-m
How many cup or glasses have you been drinking on average of the following beverages since you became pregnant?,Biola milk Biola yogurt,BB193; BB194;,2 to 3,1==5 to 6;2==3 to 4;3==1 to 2;4==2 to 3;5==1,Categorical,BB193,q02-w22-m
How many cup or glasses have you been drinking on average of the following beverages since you became pregnant?,Yogurt plain or with fruit,BB196; BB197;,,1==5 to 6;2==6 to 7;3==1 to 2;4==2 to 3;5==1,Categorical,BB196,q02-w22-m
How many cup or glasses have you been drinking on average of the following beverages since you became pregnant?,Yogurt plain or with fruit,BB196; BB197;,,1==5 to 6;2==3 to 4;3==1 to 2;4==2 to 3;5==1,Categorical,BB196,q02-w22-m
How many cup or glasses have you been drinking on average of the following beverages since you became pregnant?,Low-fat yogurt,BB199; BB200;,,1==5 to 6;2==6 to 7;3==1 to 2;4==2 to 3;5==1,Categorical,BB199,q02-w22-m
How many cup or glasses have you been drinking on average of the following beverages since you became pregnant?,Low-fat yogurt,BB199; BB200;,,1==5 to 6;2==3 to 4;3==1 to 2;4==2 to 3;5==1,Categorical,BB199,q02-w22-m
How many cup or glasses have you been drinking on average of the following beverages since you became pregnant?,Go’morgen yogurt,BB202; BB203;,,1==5 to 6;2==6 to 7;3==1 to 2;4==2 to 3;5==1,Categorical,BB202,q02-w22-m
How many cup or glasses have you been drinking on average of the following beverages since you became pregnant?,Go’morgen yogurt,BB202; BB203;,,1==5 to 6;2==3 to 4;3==1 to 2;4==2 to 3;5==1,Categorical,BB202,q02-w22-m
How many cup or glasses have you been drinking on average of the following beverages since you became pregnant?,Chocolate milk Litago,BB205; BB206;,,1==5 to 6;2==6 to 7;3==1 to 2;4==2 to 3;5==1,Categorical,BB205,q02-w22-m
How many cup or glasses have you been drinking on average of the following beverages since you became pregnant?,Chocolate milk Litago,BB205; BB206;,,1==5 to 6;2==3 to 4;3==1 to 2;4==2 to 3;5==1,Categorical,BB205,q02-w22-m
How many cup or glasses have you been drinking on average of the following beverages since you became pregnant?,Soya milk,BB208; BB209;,,1==5 to 6;2==6 to 7;3==1 to 2;4==2 to 3;5==1,Categorical,BB208,q02-w22-m
How many cup or glasses have you been drinking on average of the following beverages since you became pregnant?,Soya milk,BB208; BB209;,,1==5 to 6;2==3 to 4;3==1 to 2;4==2 to 3;5==1,Categorical,BB208,q02-w22-m
How many cup or glasses have you been drinking on average of the following beverages since you became pregnant?,Rice and oat milk,BB211; BB212;,,1==5 to 6;2==6 to 7;3==1 to 2;4==2 to 3;5==1,Categorical,BB211,q02-w22-m
How many cup or glasses have you been drinking on average of the following beverages since you became pregnant?,Rice and oat milk,BB211; BB212;,,1==5 to 6;2==3 to 4;3==1 to 2;4==2 to 3;5==1,Categorical,BB211,q02-w22-m
How many cup or glasses have you been drinking on average of the following beverages since you became pregnant?,Juice or soft drink or water or alcohol,,,1==5 to 6;2==6 to 7;3==1 to 2;4==2 to 3;5==1,Categorical,,q02-w22-m
How many cup or glasses have you been drinking on average of the following beverages since you became pregnant?,Juice or soft drink or water or alcohol,,,1==5 to 6;2==3 to 4;3==1 to 2;4==2 to 3;5==1,Categorical,,q02-w22-m
How many cup or glasses have you been drinking on average of the following beverages since you became pregnant?,Orange juice,BB214; BB215;,,1==5 to 6;2==6 to 7;3==1 to 2;4==2 to 3;5==1,Categorical,BB214,q02-w22-m
How many cup or glasses have you been drinking on average of the following beverages since you became pregnant?,Orange juice,BB214; BB215;,,1==5 to 6;2==3 to 4;3==1 to 2;4==2 to 3;5==1,Categorical,BB214,q02-w22-m
How many cup or glasses have you been drinking on average of the following beverages since you became pregnant?,Other fruit juice nectar per day,BB217; BB218;,,1==5 to 6;2==6 to 7;3==1 to 2;4==2 to 3;5==1,Categorical,BB217,q02-w22-m
How many cup or glasses have you been drinking on average of the following beverages since you became pregnant?,Other fruit juice nectar per day,BB217; BB218;,,1==5 to 6;2==3 to 4;3==1 to 2;4==2 to 3;5==1,Categorical,BB217,q02-w22-m
How many cup or glasses have you been drinking on average of the following beverages since you became pregnant?,Tomato- and vegetable juices 8+,BB220; BB221;,5 to 6,1==5 to 6;2==6 to 7;3==1 to 2;4==2 to 3;5==1,Categorical,BB220,q02-w22-m
How many cup or glasses have you been drinking on average of the following beverages since you became pregnant?,Tomato- and vegetable juices 8+,BB220; BB221;,5 to 6,1==5 to 6;2==3 to 4;3==1 to 2;4==2 to 3;5==1,Categorical,BB220,q02-w22-m
How many cup or glasses have you been drinking on average of the following beverages since you became pregnant?,Fruit syrup sweetened,BB223; BB224;,6 to 7; 3 to 4;,1==5 to 6;2==6 to 7;3==1 to 2;4==2 to 3;5==1,Categorical,BB223,q02-w22-m
