Q1,Q2,CODES,OPT,R,TYPE,C1,Q
How often do you give your child the following to drink at the moment?,Other,DD107,,2==1 to 3 times a week;3==4 to 6 times a week;4==At least once a day,Categorical,DD107,q04-m06-m
How often do you give your child the following to drink at the moment?,Other specify,,,2==1 to 3 times a week;3==4 to 6 times a week;4==At least once a day,Categorical,,q04-m06-m
H o wo f t e n do you give this to How old was your child when the first time?,Instant porridge,,,1==Never or seldom;2==1 to 3 times a week;3==4 to 6 times a week months;4==At least once a day,Categorical,,q04-m06-m
H o wo f t e n do you give this to How old was your child when the first time?,Rice porridge maize porridge,DD109; DD110;,,1==Never or seldom;2==1 to 3 times a week;3==4 to 6 times a week months;4==At least once a day,Categorical,DD109,q04-m06-m
H o wo f t e n do you give this to How old was your child when the first time?,Oatmeal porridge different types,DD111; DD112;,,1==Never or seldom;2==1 to 3 times a week;3==4 to 6 times a week months;4==At least once a day,Categorical,DD111,q04-m06-m
H o wo f t e n do you give this to How old was your child when the first time?,Wheat porridge all types rusk porridge,DD113; DD114;,,1==Never or seldom;2==1 to 3 times a week;3==4 to 6 times a week months;4==At least once a day,Categorical,DD113,q04-m06-m
H o wo f t e n do you give this to How old was your child when the first time?,Home-made porridge using,,,1==Never or seldom;2==1 to 3 times a week;3==4 to 6 times a week months;4==At least once a day,Categorical,,q04-m06-m
H o wo f t e n do you give this to How old was your child when the first time?,Wheat flour rusk semolina oats,DD115; DD116;,,1==Never or seldom;2==1 to 3 times a week;3==4 to 6 times a week months;4==At least once a day,Categorical,DD115,q04-m06-m
H o wo f t e n do you give this to How old was your child when the first time?,Iron-enriched wheat flour,DD117; DD118;,,1==Never or seldom;2==1 to 3 times a week;3==4 to 6 times a week months;4==At least once a day,Categorical,DD117,q04-m06-m
H o wo f t e n do you give this to How old was your child when the first time?,Helios baby flour,DD119; DD120;,,1==Never or seldom;2==1 to 3 times a week;3==4 to 6 times a week months;4==At least once a day,Categorical,DD119,q04-m06-m
H o wo f t e n do you give this to How old was your child when the first time?,Millet,DD121; DD122;,,1==Never or seldom;2==1 to 3 times a week;3==4 to 6 times a week months;4==At least once a day,Categorical,DD121,q04-m06-m
H o wo f t e n do you give this to How old was your child when the first time?,Processed dinner in a jar,,,1==Never or seldom;2==1 to 3 times a week;3==4 to 6 times a week months;4==At least once a day,Categorical,,q04-m06-m
H o wo f t e n do you give this to How old was your child when the first time?,Vegetables,DD123; DD124;,,1==Never or seldom;2==1 to 3 times a week;3==4 to 6 times a week months;4==At least once a day,Categorical,DD123,q04-m06-m
H o wo f t e n do you give this to How old was your child when the first time?,Vegetables and meat,DD125; DD126;,,1==Never or seldom;2==1 to 3 times a week;3==4 to 6 times a week months;4==At least once a day,Categorical,DD125,q04-m06-m
H o wo f t e n do you give this to How old was your child when the first time?,Home-made dinner,,,1==Never or seldom;2==1 to 3 times a week;3==4 to 6 times a week months;4==At least once a day,Categorical,,q04-m06-m
H o wo f t e n do you give this to How old was your child when the first time?,Potato or vegetable puree,DD127; DD128;,,1==Never or seldom;2==1 to 3 times a week;3==4 to 6 times a week months;4==At least once a day,Categorical,DD127,q04-m06-m
H o wo f t e n do you give this to How old was your child when the first time?,Meat and vegetables or potatoes,DD129; DD130;,,1==Never or seldom;2==1 to 3 times a week;3==4 to 6 times a week months;4==At least once a day,Categorical,DD129,q04-m06-m
H o wo f t e n do you give this to How old was your child when the first time?,Fish and vegetables or potatoes,DD131; DD132;,,1==Never or seldom;2==1 to 3 times a week;3==4 to 6 times a week months;4==At least once a day,Categorical,DD131,q04-m06-m
H o wo f t e n do you give this to How old was your child when the first time?,Other type of home-made dinner,DD133; DD134;,,1==Never or seldom;2==1 to 3 times a week;3==4 to 6 times a week months;4==At least once a day,Categorical,DD133,q04-m06-m
H o wo f t e n do you give this to How old was your child when the first time?,Snack or dessert,,,1==Never or seldom;2==1 to 3 times a week;3==4 to 6 times a week months;4==At least once a day,Categorical,,q04-m06-m
H o wo f t e n do you give this to How old was your child when the first time?,Home-made fruit puree,DD135; DD136;,,1==Never or seldom;2==1 to 3 times a week;3==4 to 6 times a week months;4==At least once a day,Categorical,DD135,q04-m06-m
H o wo f t e n do you give this to How old was your child when the first time?,Fruit or berry puree in a jar,DD137; DD138;,,1==Never or seldom;2==1 to 3 times a week;3==4 to 6 times a week months;4==At least once a day,Categorical,DD137,q04-m06-m
H o wo f t e n do you give this to How old was your child when the first time?,Rusks or biscuits or bread,DD139; DD140;,,1==Never or seldom;2==1 to 3 times a week;3==4 to 6 times a week months;4==At least once a day,Categorical,DD139,q04-m06-m
H o wo f t e n do you give this to How old was your child when the first time?,Other,DD141; DD142;,,1==Never or seldom;2==1 to 3 times a week;3==4 to 6 times a week months;4==At least once a day,Categorical,DD141,q04-m06-m
H o wo f t e n do you give this to How old was your child when the first time?,Other specify,DD143,,1==Never or seldom;2==1 to 3 times a week;3==4 to 6 times a week months;4==At least once a day,Categorical,DD143,q04-m06-m
H o wo f t e n do you give this to How old was your child when the first time?,DD855,DD855; DD855; DD855,,1==Never or seldom;2==1 to 3 times a week;3==4 to 6 times a week months;4==At least once a day,Categorical,DD855,q04-m06-m
If yes which products?,Whole milk,DD145,,,Tick,DD145,q04-m06-m
If yes which products?,Low-fat milk or skimmed milk,DD146,,,Tick,DD146,q04-m06-m
If yes which products?,Cream or whipped cream or ice cream,DD147,,,Tick,DD147,q04-m06-m
If yes which products?,Yogurt or sour milk,DD148,,,Tick,DD148,q04-m06-m
If yes which products?,Breast milk when mother is drinking milk,DD149,,,Tick,DD149,q04-m06-m
If yes which products?,Other,DD150,,,Tick,DD150,q04-m06-m
If yes which products?,name,,,,Tick,,q04-m06-m
Do you give your child cod liver oil vitamins iron or any other dietary supplement?,DD151,DD151; DD151; DD151,,,Tick,DD151,q04-m06-m
How many your child this? when you started giving time?,Cod liver oil,DD152; DD153; DD154; DD155;,,1==Daily Months Weeks;2==Sometimes,Categorical,DD152,q04-m06-m
How many your child this? when you started giving time?,Biovit,DD156; DD157; DD158; DD159;,,1==Daily Months Weeks;2==Sometimes,Categorical,DD156,q04-m06-m
How many your child this? when you started giving time?,Sanasol,DD160; DD161; DD162; DD163;,,1==Daily Months Weeks;2==Sometimes,Categorical,DD160,q04-m06-m
How many your child this? when you started giving time?,Nycoplus Multi-Vitamin mixture for children,DD164; DD165; DD166; DD167;,,1==Daily Months Weeks;2==Sometimes,Categorical,DD164,q04-m06-m
How many your child this? when you started giving time?,Fluoride,DD168; DD169; DD170;,,1==Daily Months Weeks;2==Sometimes,Categorical,DD168,q04-m06-m
How many your child this? when you started giving time?,Iron supplement,DD171; DD172; DD173;,,1==Daily Months Weeks;2==Sometimes,Categorical,DD171,q04-m06-m
How many your child this? when you started giving time?,DD174,DD174; DD174; DD174,,1==Daily Months Weeks;2==Sometimes,Categorical,DD174,q04-m06-m
How many your child this? when you started giving time?,Iron supplement specify,,,1==Daily Months Weeks;2==Sometimes,Categorical,,q04-m06-m
How many your child this? when you started giving time?,DD856,DD856; DD856; DD856,,1==Daily Months Weeks;2==Sometimes,Categorical,DD856,q04-m06-m
How many your child this? when you started giving time?,Other dietary supplement,DD856; DD175; DD176; DD177;,,1==Daily Months Weeks;2==Sometimes,Categorical,DD856,q04-m06-m
How many your child this? when you started giving time?,DD178,DD178; DD178; DD178,,1==Daily Months Weeks;2==Sometimes,Categorical,DD178,q04-m06-m
How many your child this? when you started giving time?,Other dietary supplement specify,DD857,,1==Daily Months Weeks;2==Sometimes,Categorical,DD857,q04-m06-m
How many times have you been to the mother and child health centre with your child?,DD179,DD179; DD179; DD179,,1==Never;2==1 to 2 times;3==3 to 5 times;4==6 to 10 times;5==More than 10 times,Categorical,DD179,q04-m06-m
Has your child been given the vaccinations recommended by the health centre?,DD180,DD180; DD180; DD180,,1==Yes;2==No don’t want vaccination;3==The child has been often ill;4==No vaccination postponed for practical reasons;5==Don’t know,Categorical,DD180,q04-m06-m
Has your child been given the vaccinations recommended by the health centre?,whether the vaccinations had any side-effect.,,,1==Yes;2==No don’t want vaccination;3==The child has been often ill;4==No vaccination postponed for practical reasons;5==Don’t know,Categorical,,q04-m06-m
Ha sy o u rc h il dWas there any Was there any side- Was there any side- vaccination? the vaccination? contact with a doctor? hospital admission?,DT,DD188; DD189; DD190; DD191;,,Number Number Number;1==No 1==No 1==No 1==No;2==Yes 2==Yes2==Yes 2==Yes,Categorical,DD188,q04-m06-m
Ha sy o u rc h il dWas there any Was there any side- Was there any side- vaccination? the vaccination? contact with a doctor? hospital admission?,Polio-Hib,DD192; DD193; DD194; DD195;,,Number Number Number;1==No 1==No 1==No 1==No;2==Yes 2==Yes2==Yes 2==Yes,Categorical,DD192,q04-m06-m
Ha sy o u rc h il dWas there any Was there any side- Was there any side- vaccination? the vaccination? contact with a doctor? hospital admission?,Hepatitis B,DD196; DD197; DD198; DD199;,,Number Number Number;1==No 1==No 1==No 1==No;2==Yes 2==Yes2==Yes 2==Yes,Categorical,DD196,q04-m06-m
Ha sy o u rc h il dWas there any Was there any side- Was there any side- vaccination? the vaccination? contact with a doctor? hospital admission?,BCG,DD200; DD201; DD202; DD203;,,Number Number Number;1==No 1==No 1==No 1==No;2==Yes 2==Yes2==Yes 2==Yes,Categorical,DD200,q04-m06-m
Ha sy o u rc h il dWas there any Was there any side- Was there any side- vaccination? the vaccination? contact with a doctor? hospital admission?,Pneumococcus,DD1103; DD1104; DD1105; DD1106;,,Number Number Number;1==No 1==No 1==No 1==No;2==Yes 2==Yes2==Yes 2==Yes,Categorical,DD1103,q04-m06-m
Ha sy o u rc h il dWas there any Was there any side- Was there any side- vaccination? the vaccination? contact with a doctor? hospital admission?,Other vaccination,DD204; DD205; DD206; DD207;,,Number Number Number;1==No 1==No 1==No 1==No;2==Yes 2==Yes2==Yes 2==Yes,Categorical,DD204,q04-m06-m
Ha sy o u rc h il dWas there any Was there any side- Was there any side- vaccination? the vaccination? contact with a doctor? hospital admission?,Other vaccination specify,DD208,,Number Number Number;1==No 1==No 1==No 1==No;2==Yes 2==Yes2==Yes 2==Yes,Categorical,DD208,q04-m06-m
Ha sy o u rc h il dWas there any Was there any side- Was there any side- vaccination? the vaccination? contact with a doctor? hospital admission?,DD858,DD858; DD858; DD858,,Number Number Number;1==No 1==No 1==No 1==No;2==Yes 2==Yes2==Yes 2==Yes,Categorical,DD858,q04-m06-m
Ha sy o u rc h il dWas there any Was there any side- Was there any side- vaccination? the vaccination? contact with a doctor? hospital admission?,Day Month Year,,,Number Number Number;1==No 1==No 1==No 1==No;2==Yes 2==Yes2==Yes 2==Yes,Categorical,,q04-m06-m
Ha sy o u rc h il dWas there any Was there any side- Was there any side- vaccination? the vaccination? contact with a doctor? hospital admission?,0 to 999 cm0 to 999cm,,0 to 9999,Number Number Number;1==No 1==No 1==No 1==No;2==Yes 2==Yes2==Yes 2==Yes,Categorical,,q04-m06-m
Ha sy o u rc h il dWas there any Was there any side- Was there any side- vaccination? the vaccination? contact with a doctor? hospital admission?,5 to 6 months,ALDER6; DD225; DD226; DD224;,,Number Number Number;1==No 1==No 1==No 1==No;2==Yes 2==Yes2==Yes 2==Yes,Categorical,ALDER6,q04-m06-m
Has problem? Been referred for a specialist investigation?,health centre,,,1==No 1==No;2==Yes 2==Yes referred from;3==Yes referred by,Categorical,,q04-m06-m
Has problem? Been referred for a specialist investigation?,In versions B F G Hsomeone else,,,1==No 1==No;2==Yes 2==Yes referred from;3==Yes referred by,Categorical,,q04-m06-m
Has problem? Been referred for a specialist investigation?,Hip disorder or dislocated hip,DD227; DD228;,,1==No 1==No;2==Yes 2==Yes referred from;3==Yes referred by,Categorical,DD227,q04-m06-m
Has problem? Been referred for a specialist investigation?,Impaired hearing,DD229; DD230;,,1==No 1==No;2==Yes 2==Yes referred from;3==Yes referred by,Categorical,DD229,q04-m06-m
Has problem? Been referred for a specialist investigation?,Impaired vision,DD231; DD232;,,1==No 1==No;2==Yes 2==Yes referred from;3==Yes referred by,Categorical,DD231,q04-m06-m
Has problem? Been referred for a specialist investigation?,Delayed motor development,DD233; DD234;,,1==No 1==No;2==Yes 2==Yes referred from;3==Yes referred by,Categorical,DD233,q04-m06-m
Has problem? Been referred for a specialist investigation?,Too little weight gain,DD235; DD236;,,1==No 1==No;2==Yes 2==Yes referred from;3==Yes referred by,Categorical,DD235,q04-m06-m
Has problem? Been referred for a specialist investigation?,Too much weight gain,DD237; DD238;,,1==No 1==No;2==Yes 2==Yes referred from;3==Yes referred by,Categorical,DD237,q04-m06-m
Has problem? Been referred for a specialist investigation?,Abnormal head circumference,DD239; DD240;,,1==No 1==No;2==Yes 2==Yes referred from;3==Yes referred by,Categorical,DD239,q04-m06-m
Has problem? Been referred for a specialist investigation?,Heart defect,DD241; DD242;,,1==No 1==No;2==Yes 2==Yes referred from;3==Yes referred by,Categorical,DD241,q04-m06-m
Has problem? Been referred for a specialist investigation?,Testicles not descended into scrotum,DD243; DD244;,,1==No 1==No;2==Yes 2==Yes referred from;3==Yes referred by,Categorical,DD243,q04-m06-m
Has problem? Been referred for a specialist investigation?,Asthma,DD245; DD246;,,1==No 1==No;2==Yes 2==Yes referred from;3==Yes referred by,Categorical,DD245,q04-m06-m
Has problem? Been referred for a specialist investigation?,Atopic eczema,DD247; DD248;,,1==No 1==No;2==Yes 2==Yes referred from;3==Yes referred by,Categorical,DD247,q04-m06-m
Has problem? Been referred for a specialist investigation?,Hives,DD249; DD250;,,1==No 1==No;2==Yes 2==Yes referred from;3==Yes referred by,Categorical,DD249,q04-m06-m
Has problem? Been referred for a specialist investigation?,Food allergy or intolerance,DD251; DD252;,,1==No 1==No;2==Yes 2==Yes referred from;3==Yes referred by,Categorical,DD251,q04-m06-m
Has problem? Been referred for a specialist investigation?,Delayed psychomotor development,DD1107; DD1108;,,1==No 1==No;2==Yes 2==Yes referred from;3==Yes referred by,Categorical,DD1107,q04-m06-m
Has problem? Been referred for a specialist investigation?,malformations,DD253; DD254;,,1==No 1==No;2==Yes 2==Yes referred from;3==Yes referred by,Categorical,DD253,q04-m06-m
Has problem? Been referred for a specialist investigation?,Other malformations specify,DD255,,1==No 1==No;2==Yes 2==Yes referred from;3==Yes referred by,Categorical,DD255,q04-m06-m
Has problem? Been referred for a specialist investigation?,DD859,DD859; DD859; DD859,,1==No 1==No;2==Yes 2==Yes referred from;3==Yes referred by,Categorical,DD859,q04-m06-m
Has problem? Been referred for a specialist investigation?,Other,DD859; DD256; DD257;,,1==No 1==No;2==Yes 2==Yes referred from;3==Yes referred by,Categorical,DD859,q04-m06-m
Has problem? Been referred for a specialist investigation?,Other specify,DD258,,1==No 1==No;2==Yes 2==Yes referred from;3==Yes referred by,Categorical,DD258,q04-m06-m
Has problem? Been referred for a specialist investigation?,DD860,DD860; DD860; DD860,,1==No 1==No;2==Yes 2==Yes referred from;3==Yes referred by,Categorical,DD860,q04-m06-m
If your child was referred for a specialist investigation what did this investigation show?,investigation needed,,,1==Everything was fine;2==Still some doubts or further;3==Don’t know,Categorical,,q04-m06-m
If your child was referred for a specialist investigation what did this investigation show?,DD260,DD260; DD260; DD260,,1==Everything was fine;2==Still some doubts or further;3==Don’t know,Categorical,DD260,q04-m06-m
If your child was referred for a specialist investigation what did this investigation show?,Given the following diagnosis:,,,1==Everything was fine;2==Still some doubts or further;3==Don’t know,Categorical,,q04-m06-m
If your child was referred for a specialist investigation what did this investigation show?,DD861,DD861; DD861; DD861,,1==Everything was fine;2==Still some doubts or further;3==Don’t know,Categorical,DD861,q04-m06-m
Is your child suspected of having a syndrome or chromosomal defect?,No,DD1109,,,Tick,DD1109,q04-m06-m
Is your child suspected of having a syndrome or chromosomal defect?,Yes a syndrome,DD1110,,,Tick,DD1110,q04-m06-m
Is your child suspected of having a syndrome or chromosomal defect?,Yes a chromosomal defect,DD1111,,,Tick,DD1111,q04-m06-m
Is your child suspected of having a syndrome or chromosomal defect?,If yes specify the name or describe,DD1112,,,Tick,DD1112,q04-m06-m
Is your child suspected of having a syndrome or chromosomal defect?,the problem,,,,Tick,,q04-m06-m
Is your child suspected of having a syndrome or chromosomal defect?,DD1113,DD1113; DD1113; DD1113,,,Tick,DD1113,q04-m06-m
Is your child suspected of having a syndrome or chromosomal defect?,Description of the problem,,,,Tick,,q04-m06-m
Is your child suspected of having a syndrome or chromosomal defect?,DD1120,DD1120; DD1120; DD1120,,,Tick,DD1120,q04-m06-m
Has your child been treated for a hip problem?,If yes how long did the treatment go,,,1==No;2==Yes treated with a cushion;3==Yes treated with a plaster cast;4==Yes treated with braces,Categorical,,q04-m06-m
Has your child been treated for a hip problem?,DD262,DD262; DD262; DD262,,1==No;2==Yes treated with a cushion;3==Yes treated with a plaster cast;4==Yes treated with braces,Categorical,DD262,q04-m06-m
DD262 on for?,months,DD262,,,Tick,DD262,q04-m06-m
Has your child had the following illness or health problem? If yes did you go to a doctor or hospital about it?,had health,,,Number doctor or clinic for hospital?,Numeric,,q04-m06-m
Has your child Di dy o u go to a Been admitted to problems? of times this?,Common cold,DD263; DD264; DD265; DD266;,,1==No 1==No 1==No;2==Yes 2==Yes 2==Yes,Categorical,DD263,q04-m06-m
Has your child Di dy o u go to a Been admitted to problems? of times this?,Throat infection,DD267; DD268; DD269; DD270;,,1==No 1==No 1==No;2==Yes 2==Yes 2==Yes,Categorical,DD267,q04-m06-m
Has your child Di dy o u go to a Been admitted to problems? of times this?,Ear infection,DD271; DD272; DD273; DD274;,,1==No 1==No 1==No;2==Yes 2==Yes 2==Yes,Categorical,DD271,q04-m06-m
Has your child Di dy o u go to a Been admitted to problems? of times this?,Pseudocroup,DD275; DD276; DD277; DD278;,,1==No 1==No 1==No;2==Yes 2==Yes 2==Yes,Categorical,DD275,q04-m06-m
Has your child Di dy o u go to a Been admitted to problems? of times this?,Bronchitis or RS virus or pneumonia,DD279; DD280; DD281; DD282;,,1==No 1==No 1==No;2==Yes 2==Yes 2==Yes,Categorical,DD279,q04-m06-m
Has your child Di dy o u go to a Been admitted to problems? of times this?,Gastric flu or diarrhoea,DD283; DD284; DD285; DD286;,,1==No 1==No 1==No;2==Yes 2==Yes 2==Yes,Categorical,DD283,q04-m06-m
Has your child Di dy o u go to a Been admitted to problems? of times this?,Urinary tract infection,DD287; DD288; DD289; DD290;,,1==No 1==No 1==No;2==Yes 2==Yes 2==Yes,Categorical,DD287,q04-m06-m
Has your child Di dy o u go to a Been admitted to problems? of times this?,Conjunctivities,DD291; DD292; DD293; DD294;,,1==No 1==No 1==No;2==Yes 2==Yes 2==Yes,Categorical,DD291,q04-m06-m
Has your child Di dy o u go to a Been admitted to problems? of times this?,Febrile convulsions,DD295; DD296; DD297; DD298;,,1==No 1==No 1==No;2==Yes 2==Yes 2==Yes,Categorical,DD295,q04-m06-m
Has your child Di dy o u go to a Been admitted to problems? of times this?,Other convulsions,DD299; DD300; DD301; DD302;,,1==No 1==No 1==No;2==Yes 2==Yes 2==Yes,Categorical,DD299,q04-m06-m
Has your child Di dy o u go to a Been admitted to problems? of times this?,Colic,DD303; DD304; DD305; DD306;,,1==No 1==No 1==No;2==Yes 2==Yes 2==Yes,Categorical,DD303,q04-m06-m
Has your child Di dy o u go to a Been admitted to problems? of times this?,Nappy rash,DD307; DD308; DD309; DD310;,,1==No 1==No 1==No;2==Yes 2==Yes 2==Yes,Categorical,DD307,q04-m06-m
Has your child Di dy o u go to a Been admitted to problems? of times this?,Other,DD311; DD312; DD313; DD314;,,1==No 1==No 1==No;2==Yes 2==Yes 2==Yes,Categorical,DD311,q04-m06-m
Has your child Di dy o u go to a Been admitted to problems? of times this?,Other describe,DD315,,1==No 1==No 1==No;2==Yes 2==Yes 2==Yes,Categorical,DD315,q04-m06-m
Has your child Di dy o u go to a Been admitted to problems? of times this?,DD862,DD862; DD862; DD862,,1==No 1==No 1==No;2==Yes 2==Yes 2==Yes,Categorical,DD862,q04-m06-m
In version A Has your child Did you go to a Been admitted to this?,Common cold or sore throat,DD928; DD929; DD930;,,1==No 1==No 1==No;2==Yes 2==Yes 2==Yes,Categorical,DD928,q04-m06-m
In version A Has your child Did you go to a Been admitted to this?,Bronchitis or RS virus,DD931; DD932; DD933;,,1==No 1==No 1==No;2==Yes 2==Yes 2==Yes,Categorical,DD931,q04-m06-m
In version A Has your child Did you go to a Been admitted to this?,Bronchitis or Pneumonia,DD934; DD935; DD936;,,1==No 1==No 1==No;2==Yes 2==Yes 2==Yes,Categorical,DD934,q04-m06-m
In version A Has your child Did you go to a Been admitted to this?,Asthma,DD937; DD938; DD939;,,1==No 1==No 1==No;2==Yes 2==Yes 2==Yes,Categorical,DD937,q04-m06-m
In version A Has your child Did you go to a Been admitted to this?,Children Eczema or atopic dermatitis,DD940; DD941; DD942;,,1==No 1==No 1==No;2==Yes 2==Yes 2==Yes,Categorical,DD940,q04-m06-m
In version A Has your child Did you go to a Been admitted to this?,Food allergy or intolerance,DD943; DD944; DD945;,,1==No 1==No 1==No;2==Yes 2==Yes 2==Yes,Categorical,DD943,q04-m06-m
In version A Has your child Did you go to a Been admitted to this?,Congenital malformation,DD946; DD947; DD948;,,1==No 1==No 1==No;2==Yes 2==Yes 2==Yes,Categorical,DD946,q04-m06-m
In version A Has your child Did you go to a Been admitted to this?,Delayed development,DD949; DD950; DD951;,,1==No 1==No 1==No;2==Yes 2==Yes 2==Yes,Categorical,DD949,q04-m06-m
In version A Has your child Did you go to a Been admitted to this?,Injuries,DD952; DD953; DD954;,,1==No 1==No 1==No;2==Yes 2==Yes 2==Yes,Categorical,DD952,q04-m06-m
Have your child ever been given any medication?,DD316,DD316; DD316; DD316,,Number of days;1==No;2==Yes,Categorical,DD316,q04-m06-m
Name of How old was your child when you gave the medicine medicine?,˂1,,1 to 2; 3 to 4; 5 to 6; 0 to 999;,Number,Numeric,,q04-m06-m
Name of How old was your child when you gave the medicine medicine?,month months months,,,Number,Numeric,,q04-m06-m
Name of How old was your child when you gave the medicine medicine?,DD863,DD863; DD863; DD863,,Number,Numeric,DD863,q04-m06-m
Name of How old was your child when you gave the medicine medicine?,DD864,DD864; DD864; DD864,,Number,Numeric,DD864,q04-m06-m
Name of How old was your child when you gave the medicine medicine?,DD865,DD865; DD865; DD865,,Number,Numeric,DD865,q04-m06-m
Name of How old was your child when you gave the medicine medicine?,DD335,DD335; DD335; DD336; DD337; DD338; DD339; DD340; DD335,,Number,Numeric,DD335,q04-m06-m
