Index,QuestionSummary,Wave,QuestionPart1,QuestionPart2,Responses,ItemCode,Subject,Scale,Subscale,ScaleItem,Domain,ScaleName,MoBaQ,TimePoint,QCode,Rater,Timing,QuestionParentheses
645,Statements describe relationship close relationship spouse partner,Q01,How well do these statements describe your relationship,I have a close relationship with my spouse or partner,Agree completely;Agree;Agree somewhat;Disagree somewhat;Disagree;Disagree completely,AA1532,Mother,RS,"",RSS01,Relationship,RelationshipSatisfactionscale,Q1,Pr15W,AA,Mother,"",""
646,Statements describe relationship partner relationship,Q01,How well do these statements describe your relationship,My partner and i have problems in our relationship,Agree completely;Agree;Agree somewhat;Disagree somewhat;Disagree;Disagree completely,AA1533,Mother,RS,"",RSS02,Relationship,RelationshipSatisfactionscale,Q1,Pr15W,AA,Mother,"",""
647,Statements describe relationship happy relationship,Q01,How well do these statements describe your relationship,I am very happy with our relationship,Agree completely;Agree;Agree somewhat;Disagree somewhat;Disagree;Disagree completely,AA1534,Mother,RS,"",RSS03,Relationship,RelationshipSatisfactionscale,Q1,Pr15W,AA,Mother,"",""
648,Statements describe relationship partner understanding,Q01,How well do these statements describe your relationship,My partner is generally understanding,Agree completely;Agree;Agree somewhat;Disagree somewhat;Disagree;Disagree completely,AA1535,Mother,RS,"",RSS04,Relationship,RelationshipSatisfactionscale,Q1,Pr15W,AA,Mother,"",""
649,Statements describe relationship relationship,Q01,How well do these statements describe your relationship,I often consider ending our relationship,Agree completely;Agree;Agree somewhat;Disagree somewhat;Disagree;Disagree completely,AA1536,Mother,RS,"",RSS05,Relationship,RelationshipSatisfactionscale,Q1,Pr15W,AA,Mother,"",""
650,Statements describe relationship satisfied relationship partner,Q01,How well do these statements describe your relationship,I am satisfied with my relationship with my partner,Agree completely;Agree;Agree somewhat;Disagree somewhat;Disagree;Disagree completely,AA1537,Mother,RS,"",RSS06,Relationship,RelationshipSatisfactionscale,Q1,Pr15W,AA,Mother,"",""
651,Statements describe relationship frequently disagree decisions,Q01,How well do these statements describe your relationship,We frequently disagree on important decisions,Agree completely;Agree;Agree somewhat;Disagree somewhat;Disagree;Disagree completely,AA1538,Mother,RS,"",RSS07,Relationship,RelationshipSatisfactionscale,Q1,Pr15W,AA,Mother,"",""
652,Statements describe relationship lucky choice partner,Q01,How well do these statements describe your relationship,I have been lucky in my choice of a partner,Agree completely;Agree;Agree somewhat;Disagree somewhat;Disagree;Disagree completely,AA1539,Mother,RS,"",RSS08,Relationship,RelationshipSatisfactionscale,Q1,Pr15W,AA,Mother,"",""
653,Statements describe relationship agree child raised,Q01,How well do these statements describe your relationship,We agree on how our child should be raised,Agree completely;Agree;Agree somewhat;Disagree somewhat;Disagree;Disagree completely,AA1540,Mother,RS,"",RSS09,Relationship,RelationshipSatisfactionscale,Q1,Pr15W,AA,Mother,"",""
654,Statements describe relationship partner satisfied relationship,Q01,How well do these statements describe your relationship,I believe my partner is satisfied with our relationship,Agree completely;Agree;Agree somewhat;Disagree somewhat;Disagree;Disagree completely,AA1541,Mother,RS,"",RSS10,Relationship,RelationshipSatisfactionscale,Q1,Pr15W,AA,Mother,"",""
658,Bothered weeks feeling fearful,Q01,Have you been bothered by any of the following during the last two weeks,Feeling fearful,Not bothered;A little bothered;Quite bothered;Very bothered,AA1548,Mother,SCL,"",SCL01,Emotion,TheHopkinsSymptomsChecklist,Q1,Pr15W,AA,Mother,Last two weeks,""
659,Bothered weeks nervousness shakiness inside,Q01,Have you been bothered by any of the following during the last two weeks,Nervousness or shakiness inside,Not bothered;A little bothered;Quite bothered;Very bothered,AA1549,Mother,SCL,"",SCL02,Emotion,TheHopkinsSymptomsChecklist,Q1,Pr15W,AA,Mother,Last two weeks,""
660,Bothered weeks feeling hopeless future,Q01,Have you been bothered by any of the following during the last two weeks,Feeling hopeless about the future,Not bothered;A little bothered;Quite bothered;Very bothered,AA1550,Mother,SCL,"",SCL03,Emotion,TheHopkinsSymptomsChecklist,Q1,Pr15W,AA,Mother,Last two weeks,""
661,Bothered weeks feeling blue,Q01,Have you been bothered by any of the following during the last two weeks,Feeling blue,Not bothered;A little bothered;Quite bothered;Very bothered,AA1551,Mother,SCL,"",SCL04,Emotion,TheHopkinsSymptomsChecklist,Q1,Pr15W,AA,Mother,Last two weeks,""
662,Bothered weeks worrying,Q01,Have you been bothered by any of the following during the last two weeks,Worrying too much about things,Not bothered;A little bothered;Quite bothered;Very bothered,AA1552,Mother,SCL,"",SCL05,Emotion,TheHopkinsSymptomsChecklist,Q1,Pr15W,AA,Mother,Last two weeks,""
666,Feel positive attitude,Q01,How do you feel about yourself,I have a positive attitude toward myself,Agree completely;Agree;Disagree;Disagree completely,AA1568,Mother,RSES,"",RSES01,Self esteem,TheRosenbergSelfEsteemScale,Q1,Pr15W,AA,Mother,"",""
667,Feel feel completely useless times,Q01,How do you feel about yourself,I feel completely useless at times,Agree completely;Agree;Disagree;Disagree completely,AA1569,Mother,RSES,"",RSES02,Self esteem,TheRosenbergSelfEsteemScale,Q1,Pr15W,AA,Mother,"",""
668,Feel feel proud,Q01,How do you feel about yourself,I feel that i do not have much to be proud about,Agree completely;Agree;Disagree;Disagree completely,AA1570,Mother,RSES,"",RSES03,Self esteem,TheRosenbergSelfEsteemScale,Q1,Pr15W,AA,Mother,"",""
669,Feel feel valuable person,Q01,How do you feel about yourself,I feel that i am a valuable person as good as anyone else,Agree completely;Agree;Disagree;Disagree completely,AA1571,Mother,RSES,"",RSES04,Self esteem,TheRosenbergSelfEsteemScale,Q1,Pr15W,AA,Mother,"",""
1042,Statements describe relationship close relationship spouse partner,Q03,How well do these statements describe your relationship,I have a close relationship with my spouse or partner,Agree completely;Agree;Agree somewhat;Disagree somewhat;Disagree;Disagree completely;,CC1192,Mother,RS,"",RSS01,Relationship,RelationshipSatisfactionscale,Q3,Pr30W,CC,Mother,"",""
1043,Statements describe relationship partner relationship,Q03,How well do these statements describe your relationship,My partner and i have problems in our relationship,Agree completely;Agree;Agree somewhat;Disagree somewhat;Disagree;Disagree completely;,CC1193,Mother,RS,"",RSS02,Relationship,RelationshipSatisfactionscale,Q3,Pr30W,CC,Mother,"",""
1044,Statements describe relationship happy relationship,Q03,How well do these statements describe your relationship,I am very happy with our relationship,Agree completely;Agree;Agree somewhat;Disagree somewhat;Disagree;Disagree completely;,CC1194,Mother,RS,"",RSS03,Relationship,RelationshipSatisfactionscale,Q3,Pr30W,CC,Mother,"",""
1045,Statements describe relationship partner understanding,Q03,How well do these statements describe your relationship,My partner is generally understanding,Agree completely;Agree;Agree somewhat;Disagree somewhat;Disagree;Disagree completely;,CC1195,Mother,RS,"",RSS04,Relationship,RelationshipSatisfactionscale,Q3,Pr30W,CC,Mother,"",""
1046,Statements describe relationship relationship,Q03,How well do these statements describe your relationship,I often consider ending our relationship,Agree completely;Agree;Agree somewhat;Disagree somewhat;Disagree;Disagree completely;,CC1196,Mother,RS,"",RSS05,Relationship,RelationshipSatisfactionscale,Q3,Pr30W,CC,Mother,"",""
1047,Statements describe relationship satisfied relationship partner,Q03,How well do these statements describe your relationship,I am satisfied with my relationship with my partner,Agree completely;Agree;Agree somewhat;Disagree somewhat;Disagree;Disagree completely;,CC1197,Mother,RS,"",RSS06,Relationship,RelationshipSatisfactionscale,Q3,Pr30W,CC,Mother,"",""
1048,Statements describe relationship frequently disagree decisions,Q03,How well do these statements describe your relationship,We frequently disagree on important decisions,Agree completely;Agree;Agree somewhat;Disagree somewhat;Disagree;Disagree completely;,CC1198,Mother,RS,"",RSS07,Relationship,RelationshipSatisfactionscale,Q3,Pr30W,CC,Mother,"",""
1049,Statements describe relationship lucky choice partner,Q03,How well do these statements describe your relationship,I have been lucky in my choice of a partner,Agree completely;Agree;Agree somewhat;Disagree somewhat;Disagree;Disagree completely;,CC1199,Mother,RS,"",RSS08,Relationship,RelationshipSatisfactionscale,Q3,Pr30W,CC,Mother,"",""
1050,Statements describe relationship agree child raised,Q03,How well do these statements describe your relationship,We agree on how our child should be raised,Agree completely;Agree;Agree somewhat;Disagree somewhat;Disagree;Disagree completely;,CC1200,Mother,RS,"",RSS09,Relationship,RelationshipSatisfactionscale,Q3,Pr30W,CC,Mother,"",""
1051,Statements describe relationship partner satisfied relationship,Q03,How well do these statements describe your relationship,I believe my partner is satisfied with our relationship,Agree completely;Agree;Agree somewhat;Disagree somewhat;Disagree;Disagree completely;,CC1201,Mother,RS,"",RSS10,Relationship,RelationshipSatisfactionscale,Q3,Pr30W,CC,Mother,"",""
1052,Bothered weeks feeling fearful,Q03,Have you been bothered by any of the following during the last two weeks,Feeling fearful,Not bothered;A little bothered;Quite bothered;Very bothered,CC1202,Mother,SCL,Anxiety,SCL01,Emotion,TheHopkinsSymptomsChecklist,Q3,Pr30W,CC,Mother,Last two weeks,""
1054,Bothered weeks nervousness shakiness inside,Q03,Have you been bothered by any of the following during the last two weeks,Nervousness or shakiness inside,Not bothered;A little bothered;Quite bothered;Very bothered,CC1203,Mother,SCL,Anxiety,SCL02,Emotion,TheHopkinsSymptomsChecklist,Q3,Pr30W,CC,Mother,Last two weeks,""
1056,Bothered weeks feeling hopeless future,Q03,Have you been bothered by any of the following during the last two weeks,Feeling hopeless about the future,Not bothered;A little bothered;Quite bothered;Very bothered,CC1204,Mother,SCL,Depression,SCL03,Emotion,TheHopkinsSymptomsChecklist,Q3,Pr30W,CC,Mother,Last two weeks,""
1058,Bothered weeks feeling blue,Q03,Have you been bothered by any of the following during the last two weeks,Feeling blue,Not bothered;A little bothered;Quite bothered;Very bothered,CC1205,Mother,SCL,Depression,SCL04,Emotion,TheHopkinsSymptomsChecklist,Q3,Pr30W,CC,Mother,Last two weeks,""
1060,Bothered weeks worrying,Q03,Have you been bothered by any of the following during the last two weeks,Worrying too much about things,Not bothered;A little bothered;Quite bothered;Very bothered,CC1206,Mother,SCL,Depression,SCL05,Emotion,TheHopkinsSymptomsChecklist,Q3,Pr30W,CC,Mother,Last two weeks,""
1062,Bothered weeks feeling effort,Q03,Have you been bothered by any of the following during the last two weeks,Feeling everything is an effort,Not bothered;A little bothered;Quite bothered;Very bothered,CC1207,Mother,SCL,Depression,SCL06,Emotion,TheHopkinsSymptomsChecklist,Q3,Pr30W,CC,Mother,Last two weeks,""
1064,Bothered weeks feeling tense keyed,Q03,Have you been bothered by any of the following during the last two weeks,Feeling tense or keyed up,Not bothered;A little bothered;Quite bothered;Very bothered,CC1208,Mother,SCL,Anxiety,SCL07,Emotion,TheHopkinsSymptomsChecklist,Q3,Pr30W,CC,Mother,Last two weeks,""
1066,Bothered weeks suddenly scared reason,Q03,Have you been bothered by any of the following during the last two weeks,Suddenly scared for no reason,Not bothered;A little bothered;Quite bothered;Very bothered,CC1209,Mother,SCL,Anxiety,SCL08,Emotion,TheHopkinsSymptomsChecklist,Q3,Pr30W,CC,Mother,Last two weeks,""
1068,Experience everyday life feel glad,Q03,How often do you experience the following in your everyday life,Feel glad about something,Rarely or never;Hardly ever;Sometimes;Often;Very often,CC1210,Mother,DES,Enjoyment,DES01,Emotion,DifferentialEmotionalScale,Q3,Pr30W,CC,Mother,"",""
1069,Experience everyday life feel happy,Q03,How often do you experience the following in your everyday life,Feel happy,Rarely or never;Hardly ever;Sometimes;Often;Very often,CC1211,Mother,DES,Enjoyment,DES02,Emotion,DifferentialEmotionalScale,Q3,Pr30W,CC,Mother,"",""
1070,Experience everyday life feel joyful rosy,Q03,How often do you experience the following in your everyday life,Feel joyful like everything is going your way everything is rosy,Rarely or never;Hardly ever;Sometimes;Often;Very often,CC1212,Mother,DES,Enjoyment,DES03,Emotion,DifferentialEmotionalScale,Q3,Pr30W,CC,Mother,"",""
1071,Experience everyday life feel screaming banging,Q03,How often do you experience the following in your everyday life,Feel like screaming at somebody or banging on something,Rarely or never;Hardly ever;Sometimes;Often;Very often,CC1213,Mother,DES,Anger,DES04,Emotion,DifferentialEmotionalScale,Q3,Pr30W,CC,Mother,"",""
1072,Experience everyday life feel angry irritated annoyed,Q03,How often do you experience the following in your everyday life,Feel angry irritated annoyed,Rarely or never;Hardly ever;Sometimes;Often;Very often,CC1214,Mother,DES,Anger,DES05,Emotion,DifferentialEmotionalScale,Q3,Pr30W,CC,Mother,"",""
1073,Experience everyday life feel mad,Q03,How often do you experience the following in your everyday life,Feel mad at somebody,Rarely or never;Hardly ever;Sometimes;Often;Very often,CC1215,Mother,DES,Anger,DES06,Emotion,DifferentialEmotionalScale,Q3,Pr30W,CC,Mother,"",""
1074,Statements describe manage solve difficult hard,Q03,How well do these statements describe you,I can always manage to solve difficult problems if i try hard enough,Not at all true;Hardly true;Moderately true;Exactly true,CC1216,Mother,GSE,"",GES01,Self efficacy,GeneralSelfEfficacy,Q3,Pr30W,CC,Mother,"",""
1075,Statements describe opposes means,Q03,How well do these statements describe you,If someone opposes me i can find the means and ways to get what i,Not at all true;Hardly true;Moderately true;Exactly true,CC1217,Mother,GSE,"",GES02,Self efficacy,GeneralSelfEfficacy,Q3,Pr30W,CC,Mother,"",""
1076,Statements describe confident deal efficiently unexpected events,Q03,How well do these statements describe you,I am confident that i could deal efficiently with unexpected events,Not at all true;Hardly true;Moderately true;Exactly true,CC1218,Mother,GSE,"",GES03,Self efficacy,GeneralSelfEfficacy,Q3,Pr30W,CC,Mother,"",""
1077,Statements describe remain calm facing difficulties rely coping abilities,Q03,How well do these statements describe you,I can remain calm when facing difficulties because i can rely on my coping abilities,Not at all true;Hardly true;Moderately true;Exactly true,CC1219,Mother,GSE,"",GES04,Self efficacy,GeneralSelfEfficacy,Q3,Pr30W,CC,Mother,"",""
1078,Statements describe trouble solution,Q03,How well do these statements describe you,If i am in trouble i can think of a good solution,Not at all true;Hardly true;Moderately true;Exactly true,CC1220,Mother,GSE,"",GES05,Self efficacy,GeneralSelfEfficacy,Q3,Pr30W,CC,Mother,"",""
1079,Agree disagree statements life close ideal,Q03,Do you agree or disagree with the following statements,In most ways my life is close to my ideal,Strongly disagree;Disagree;Slightly disagree;Neither agree nor disagree;Slightly agree;Agree;Strongly agree,CC1224,Mother,SWLS,"",SWLS01,Life satisfaction,TheSatisfactionWithLifeScale,Q3,Pr30W,CC,Mother,"",""
1080,Agree disagree statements conditions life excellent,Q03,Do you agree or disagree with the following statements,The conditions of my life are excellent,Strongly disagree;Disagree;Slightly disagree;Neither agree nor disagree;Slightly agree;Agree;Strongly agree,CC1225,Mother,SWLS,"",SWLS02,Life satisfaction,TheSatisfactionWithLifeScale,Q3,Pr30W,CC,Mother,"",""
1081,Agree disagree statements satisfied life,Q03,Do you agree or disagree with the following statements,I am satisfied with my life,Strongly disagree;Disagree;Slightly disagree;Neither agree nor disagree;Slightly agree;Agree;Strongly agree,CC1226,Mother,SWLS,"",SWLS03,Life satisfaction,TheSatisfactionWithLifeScale,Q3,Pr30W,CC,Mother,"",""
1082,Agree disagree statements life,Q03,Do you agree or disagree with the following statements,So far i have gotten the important things i want in life,Strongly disagree;Disagree;Slightly disagree;Neither agree nor disagree;Slightly agree;Agree;Strongly agree,CC1227,Mother,SWLS,"",SWLS04,Life satisfaction,TheSatisfactionWithLifeScale,Q3,Pr30W,CC,Mother,"",""
1083,Agree disagree statements live life change,Q03,Do you agree or disagree with the following statements,If i could live my life over i would change almost nothing,Strongly disagree;Disagree;Slightly disagree;Neither agree nor disagree;Slightly agree;Agree;Strongly agree,CC1228,Mother,SWLS,"",SWLS05,Life satisfaction,TheSatisfactionWithLifeScale,Q3,Pr30W,CC,Mother,"",""
1084,Feel positive attitude,Q03,How do you feel about yourself,I have a positive attitude toward myself,Strongly agree;Agree;Disagree;Strongly disagree,CC1229,Mother,RSES,"",RSES01,Self esteem,TheRosenbergSelfEsteemScale,Q3,Pr30W,CC,Mother,"",""
1085,Feel feel completely useless times,Q03,How do you feel about yourself,I feel completely useless at times,Strongly agree;Agree;Disagree;Strongly disagree,CC1230,Mother,RSES,"",RSES02,Self esteem,TheRosenbergSelfEsteemScale,Q3,Pr30W,CC,Mother,"",""
1086,Feel feel proud,Q03,How do you feel about yourself,I feel that i do not have much to be proud about,Strongly agree;Agree;Disagree;Strongly disagree,CC1231,Mother,RSES,"",RSES03,Self esteem,TheRosenbergSelfEsteemScale,Q3,Pr30W,CC,Mother,"",""
1087,Feel feel valuable person,Q03,How do you feel about yourself,I feel that i am a valuable person as good as anyone else,Strongly agree;Agree;Disagree;Strongly disagree,CC1232,Mother,RSES,"",RSES04,Self esteem,TheRosenbergSelfEsteemScale,Q3,Pr30W,CC,Mother,"",""
1195,Agree disagree statements childs mood temperament child cries complains lot,Q04,Say whether you agree or disagree with the following statements about the childs mood and temperament think about how he or she usually is,The child cries and complains a lot,Completely disagree;Disagree;Disagree somewhat;Indifferent;Agree somewhat;Agree;Agree completely,DD386,Child,ICQ6,"",ICQ01,Temperament,InfantCharacteristicsQuestionnaireâ,Q46months,Ch06M,DD,Mother,"",""
1197,Agree disagree statements childs mood temperament child easy calm cries,Q04,Say whether you agree or disagree with the following statements about the childs mood and temperament think about how they usually is,The child is easy to calm when he or she cries,Completely disagree;Disagree;Disagree somewhat;Indifferent;Agree somewhat;Agree;Agree completely,DD387,Child,ICQ6,"",ICQ02,Temperament,InfantCharacteristicsQuestionnaireâ,Q46months,Ch06M,DD,Mother,"",""
1199,Agree disagree statements childs mood temperament child easily upset,Q04,Say whether you agree or disagree with the following statements about the childs mood and temperament think about how they usually is,The child is easily upset,Completely disagree;Disagree;Disagree somewhat;Indifferent;Agree somewhat;Agree;Agree completely,DD388,Child,ICQ6,"",ICQ03,Temperament,InfantCharacteristicsQuestionnaireâ,Q46months,Ch06M,DD,Mother,"",""
1201,Agree disagree statements childs mood temperament baby cries cries loudly vigorously,Q04,Say whether you agree or disagree with the following statements about the childs mood and temperament think about how they usually is,When the baby cries he or she usually cries loudly and vigorously,Completely disagree;Disagree;Disagree somewhat;Indifferent;Agree somewhat;Agree;Agree completely,DD389,Child,ICQ6,"",ICQ04,Temperament,InfantCharacteristicsQuestionnaireâ,Q46months,Ch06M,DD,Mother,"",""
1203,Agree disagree statements childs mood temperament child easy handle,Q04,Say whether you agree or disagree with the following statements about the childs mood and temperament think about how they usually is,The child is easy to handle,Completely disagree;Disagree;Disagree somewhat;Indifferent;Agree somewhat;Agree;Agree completely,DD390,Child,ICQ6,"",ICQ05,Temperament,InfantCharacteristicsQuestionnaireâ,Q46months,Ch06M,DD,Mother,"",""
1205,Agree disagree statements childs mood temperament child requires lot attention,Q04,Say whether you agree or disagree with the following statements about the childs mood and temperament think about how they usually is,The child requires a lot of attention,Completely disagree;Disagree;Disagree somewhat;Indifferent;Agree somewhat;Agree;Agree completely,DD391,Child,ICQ6,"",ICQ06,Temperament,InfantCharacteristicsQuestionnaireâ,Q46months,Ch06M,DD,Mother,"",""
1207,Agree disagree statements childs mood temperament left plays contented,Q04,Say whether you agree or disagree with the following statements about the childs mood and temperament think about how they usually is,When left alone he or she usually plays alone and is contented,Completely disagree;Disagree;Disagree somewhat;Indifferent;Agree somewhat;Agree;Agree completely,DD392,Child,ICQ6,"",ICQ07,Temperament,InfantCharacteristicsQuestionnaireâ,Q46months,Ch06M,DD,Mother,"",""
1209,Agree disagree statements childs mood temperament child demanding represent considerable parents,Q04,Say whether you agree or disagree with the following statements about the childs mood and temperament think about how they usually is,The child is so demanding that it would represent a considerable problem for most parents,Completely disagree;Disagree;Disagree somewhat;Indifferent;Agree somewhat;Agree;Agree completely,DD393,Child,ICQ6,"",ICQ08,Temperament,InfantCharacteristicsQuestionnaireâ,Q46months,Ch06M,DD,Mother,"",""
1211,Agree disagree statements childs mood temperament child smiles laughs frequently,Q04,Say whether you agree or disagree with the following statements about the childs mood and temperament think about how they usually is,The child smiles and laughs frequently,Completely disagree;Disagree;Disagree somewhat;Indifferent;Agree somewhat;Agree;Agree completely,DD394,Child,ICQ6,"",ICQ09,Temperament,InfantCharacteristicsQuestionnaireâ,Q46months,Ch06M,DD,Mother,"",""
1213,Agree disagree statements childs mood temperament child easy bed falls asleep quickly,Q04,Say whether you agree or disagree with the following statements about the childs mood and temperament think about how they usually is,The child is easy to put to bed and falls asleep quickly,Completely disagree;Disagree;Disagree somewhat;Indifferent;Agree somewhat;Agree;Agree completely,DD395,Child,ICQ6,"",ICQ10,Temperament,InfantCharacteristicsQuestionnaireâ,Q46months,Ch06M,DD,Mother,"",""
1290,Statements describe relationship close relationship spouse partner,Q04,If yes how well do these statements describe your relationship,I have a close relationship with my spouse or partner,Agree completely;Agree;Agree somewhat;Disagree somewhat;Disagree;Disagree completely,DD784,Mother,RS,"",RSS01,Relationship,RelationshipSatisfactionscale,Q46months,Ch06M,DD,Mother,"",""
1291,Statements describe relationship partner relationship,Q04,If yes how well do these statements describe your relationship,My partner and i have problems in our relationship,Agree completely;Agree;Agree somewhat;Disagree somewhat;Disagree;Disagree completely,DD785,Mother,RS,"",RSS02,Relationship,RelationshipSatisfactionscale,Q46months,Ch06M,DD,Mother,"",""
1292,Statements describe relationship happy relationship,Q04,If yes how well do these statements describe your relationship,I am very happy with our relationship,Agree completely;Agree;Agree somewhat;Disagree somewhat;Disagree;Disagree completely,DD786,Mother,RS,"",RSS03,Relationship,RelationshipSatisfactionscale,Q46months,Ch06M,DD,Mother,"",""
1293,Statements describe relationship partner understanding,Q04,If yes how well do these statements describe your relationship,My partner is generally understanding,Agree completely;Agree;Agree somewhat;Disagree somewhat;Disagree;Disagree completely,DD787,Mother,RS,"",RSS04,Relationship,RelationshipSatisfactionscale,Q46months,Ch06M,DD,Mother,"",""
1294,Statements describe relationship relationship,Q04,If yes how well do these statements describe your relationship,I often consider ending our relationship,Agree completely;Agree;Agree somewhat;Disagree somewhat;Disagree;Disagree completely,DD788,Mother,RS,"",RSS05,Relationship,RelationshipSatisfactionscale,Q46months,Ch06M,DD,Mother,"",""
1295,Statements describe relationship satisfied relationship partner,Q04,If yes how well do these statements describe your relationship,I am satisfied with my relationship with my partner,Agree completely;Agree;Agree somewhat;Disagree somewhat;Disagree;Disagree completely,DD789,Mother,RS,"",RSS06,Relationship,RelationshipSatisfactionscale,Q46months,Ch06M,DD,Mother,"",""
1296,Statements describe relationship frequently disagree decisions,Q04,If yes how well do these statements describe your relationship,We frequently disagree on important decisions,Agree completely;Agree;Agree somewhat;Disagree somewhat;Disagree;Disagree completely,DD790,Mother,RS,"",RSS07,Relationship,RelationshipSatisfactionscale,Q46months,Ch06M,DD,Mother,"",""
1297,Statements describe relationship lucky choice partner,Q04,If yes how well do these statements describe your relationship,I have been lucky in my choice of a partner,Agree completely;Agree;Agree somewhat;Disagree somewhat;Disagree;Disagree completely,DD791,Mother,RS,"",RSS08,Relationship,RelationshipSatisfactionscale,Q46months,Ch06M,DD,Mother,"",""
1298,Statements describe relationship agree child raised,Q04,If yes how well do these statements describe your relationship,We agree on how our child should be raised,Agree completely;Agree;Agree somewhat;Disagree somewhat;Disagree;Disagree completely,DD792,Mother,RS,"",RSS09,Relationship,RelationshipSatisfactionscale,Q46months,Ch06M,DD,Mother,"",""
1299,Statements describe relationship partner satisfied relationship,Q04,If yes how well do these statements describe your relationship,I believe my partner is satisfied with our relationship,Agree completely;Agree;Agree somewhat;Disagree somewhat;Disagree;Disagree completely,DD793,Mother,RS,"",RSS10,Relationship,RelationshipSatisfactionscale,Q46months,Ch06M,DD,Mother,"",""
1300,Daily life experience feel glad,Q04,In your daily life how often do you experience the following,Feel glad about something,Rarely or never;Hardly ever;Sometimes;Often;Very often,DD794,Mother,DES,Enjoyment,DES01,Emotion,DifferentialEmotionalScale,Q46months,Ch06M,DD,Mother,"",""
1301,Daily life experience feel happy,Q04,In your daily life how often do you experience the following,Feel happy,Rarely or never;Hardly ever;Sometimes;Often;Very often,DD795,Mother,DES,Enjoyment,DES02,Emotion,DifferentialEmotionalScale,Q46months,Ch06M,DD,Mother,"",""
1302,Daily life experience feel joyful rosy,Q04,In your daily life how often do you experience the following,Feel joyful like everything is going your way everything is rosy,Rarely or never;Hardly ever;Sometimes;Often;Very often,DD796,Mother,DES,Enjoyment,DES03,Emotion,DifferentialEmotionalScale,Q46months,Ch06M,DD,Mother,"",""
1303,Daily life experience feel screaming banging,Q04,In your daily life how often do you experience the following,Feel like screaming at somebody or banging on something,Rarely or never;Hardly ever;Sometimes;Often;Very often,DD797,Mother,DES,Anger,DES04,Emotion,DifferentialEmotionalScale,Q46months,Ch06M,DD,Mother,"",""
