QuestionPart2,ItemCode
Does your child ever use words that he or she seems to have invented or made up her or himself put things in odd indirect ways or use metaphorical ways of saying things e g saying hot rain for steam,GG261
Does your child ever say the same thing over and over in exactly the same way or insist that you say the same thing over and over again,GG262
Does your child ever have things that he or she seems to have to do in a very particular way or order or rituals that the child insists that you go through,GG263
Does your childs facial expression usually seem appropriate to the particular situation as far as you can tell,GG264
Does your child ever use your hand like a tool or as if it were part of their own body e g pointing with your finger or putting your hand on a doorknob to get you to open the door,GG265
Does your child ever have any interests that preoccupy him or her and might seem odd to other people e g traffic lights drainpipes or timetables,GG266
Does your child ever seem to be more interested in parts of a toy or an object e g spinning the wheels of a car rather than in using the object as it was intended,GG267
Does your child ever have any special interests that are unusual in their intensity but otherwise appropriate for their age and peer group e g trains or dinosaurs,GG268
Does your child ever seem to be unusually interested in the sight feel sound taste or smell of things or people,GG269
Does your child ever have any mannerisms or odd ways of moving their hands or fingers such as flapping or moving their fingers in front of their eyes,GG270
Does your child ever have any complicated movements of their whole body such as spinning or repeatedly bouncing up and down,GG271
Does your child ever injure himself or herself deliberately such as by biting their arm or banging their head,GG272
Does your child ever have any objects other than a soft toy or comfort blanket that he or she has to carry around,GG273
Does your child have any particular friends or a best friend,GG274
Does your child ever talk with you just to be friendly rather than to get something,GG256
Does your child ever spontaneously copy you or other people or what you are doing such as vacuuming gardening or mending things,GG275
Does your child ever spontaneously point at things around him or her just to show you things not because he or she wants them,GG276
Does your child ever use gestures other than pointing or pulling your hand to let you know what he or she wants,GG277
Does your child nod their head to indicate yes,GG278
Does your child shake their head to indicate no,GG279
Does your child usually look at you directly in the face when doing things with you or talking with you,GG280
Does your child smile back if someone smiles at him or her,GG281
Does your child ever show you things that interest him or her to engage your attention,GG282
Does your child ever offer to share things other than food with you,GG283
Does your child ever seem to want you to join in their enjoyment of something,GG284
Does your child ever try to comfort you when you are sad or hurt,GG285
If your child wants something or wants help does he or she look at you and use gestures with sounds or words to get your attention,GG286
Does your child show a normal range of facial expressions,GG287
Does your child ever spontaneously join in and try to copy the actions in social games such as the mulberry bush or london bridge is falling down,GG288
Does your child play any pretend or make believe games,GG289
Does your child seem interested in other children of approximately the same age whom he or she does not know,GG290
Does your child respond positively when another child approaches him or her,GG291
If you come into a room and start talking to your child without calling their name does he or she usually look up and pay attention to you,GG292
Does your child ever play imaginative games with another child in such a way that you can tell that each child understands what the other is pretending,GG293
Does your child play cooperatively in games that need some form of joining in with a group of other children such as hide and seek or ball games,GG294
Tests other children to see whether they get angry,GG349
Becomes aggressive when he or she is frustrated,GG350
Hitheyr body is affected by twitches or contortions that seem difficult to control e g eyes mouth nose or legs,GG351
Hits shoves kicks and bites other children not including siblings,GG352
Is very anxious about getting dirty,GG353
Wants things to be clean and tidy,GG354
Places toys or other objects in a certain order or sequence over and over again,GG355
Wakes up in the night and needs help to get back to sleep,GG356
Gets distressed when you go out and he or she is going to be looked after by family or a babysitter he or she knows,GG357
Does things he or she is not allowed to do to attract attention from adults,GG358
Seems to have less fun than other children,GG359
Is extremely noisy shouts and screams a lot,GG360
Is disobedient or defiant e g refuses to do anything you ask,GG361
Comes over to you when something happens that makes him or her afraid or anxious,GG362
Runs off when you are outside,GG363
Seems to have less energy,GG364
Is very fussy when it comes to food,GG365
Seems to be unhappy sad or depressed,GG366
Wakes up several times in the night,GG367
I have to be sure that my child does not eat too many sweet things sweets,GG368
I have to be sure that my child does not eat too many high fat foods,GG369
I have to be sure that my child does not eat too much of their favorite food,GG370
I intentionally keep some foods out of my childs reach,GG371
Reward for good behavior,GG372
I offer my child their favorite foods in exchange for good behavior,GG373
If i did not guide or regulate my childs eating he or she would eat too many junk foods,GG374
If i did not guide or regulate my childs eating he or she would eat too much of their favorite foods,GG375
My child should always eat all of the food on their plate,GG376
I have to be especially careful to make sure that my child eats enough,GG377
If my child says im not hungry i try to get him or her to eat anyway,GG378
Than he or she should,GG379
